row,column,value
11,0,HYUNDAI TUCSON 2008^1ST OWNER^ 
13,0,HYUNDAI TUCSON 2008^1ST OWNER^ 
11,7,hyundai
13,7,mitsubishi
21,7,Toyota
21,0,For Sell Mitsubishi Pajero 2006
7,0,For Sell Mitsubishi Pajero 2006
7,7,mitsubishi
24,7,BMW
2,7,mitsubishi
2,0,Mitsubishi NATIVA 2004 4WD - QAR 22^000
24,0,Mitsubishi NATIVA 2004 4WD - QAR 22^000
3,0,Mitsubishi NATIVA 2004 4WD - QAR 22^000
3,7,nissan
18,7,ford
8,7,nissan
8,0,Nissan Murano full option^ Model 2008^ Low mileage 41^000Km only price reduced for quick sale
18,0,Nissan Murano full option^ Model 2008^ Low mileage 41^000Km only price reduced for quick sale
12,0,Hyundai Sonata 2012
25,7,mitsubishi
12,7,hyundai
25,0,Hyundai Sonata 2012
14,0,Nissan Murano full option^ Model 2008^ Low mileage 41^000Km only price reduced for quick sale
14,7,toyota
4,7,toyota
4,0,Toyota Yaris 2006 MANUAL GEAR
6,0,Toyota Yaris 2006 MANUAL GEAR
6,7,honda
16,7,toyota
16,0,Hyundai Sonata 2012
10,0,NISSAN PATHFINDER SE (FULL OPTION) FOR SALE
9,7,nissan
10,7,Mercedes
9,0,NISSAN PATHFINDER SE (FULL OPTION) FOR SALE
