Department Code,Department Name,Department Full Name,School Code,School Name,Dept Budget Code,Is Degree Granting,Dept Name In Commencement Bk,School Name In Commencement Bk,Department Name History,Department Last Activity Date,Dlc Key,Warehouse Load Date
UND,Undesignated Sophomore,UND -Undesignated Sophomore,Y,"MIT, academic",441000,N,"","","",02/17/94 12:00 AM,D_STUDENT_UND,01/08/16 12:10 AM
NONE,Freshmen,NONE-Freshmen,Y,"MIT, academic",441000,N,"","","",02/17/94 12:00 AM,D_STUDENT_FRESH,01/08/16 12:10 AM
CAES,Center for Adv Educ Services,CAES-Center for Adv Educ Services,Y,"MIT, academic",405100,N,"","",associated with school of engineering through 5th week of 1998SP,11/18/99 12:00 AM,D_CAES,01/08/16 12:10 AM
ESG,Experimental Study Group,ESG -Experimental Study Group,Y,"MIT, academic",159000,N,"","","",10/20/11 12:00 AM,D_ESG,01/08/16 12:10 AM
ISP,Terrascope,ISP -Terrascope,Y,"MIT, academic","",N,"","","",01/11/10 12:00 AM,D_ISP,01/08/16 12:10 AM
NIV,Visiting Research Cross-Enroll,NIV -Visiting Research Cross-Enroll,Z,Non-MIT,"",N,"","","",10/10/96 12:00 AM,D_CROSS_REG,01/08/16 12:10 AM
NIU,BU Cross-Enrollment Prog,NIU -BU Cross-Enrollment Prog,Z,Non-MIT,"",N,"","","",08/30/93 12:00 AM,D_CROSS_REG,01/08/16 12:10 AM
NI,Non-Inst Cross-Enrollment Prog,NI  -Non-Inst Cross-Enrollment Prog,Z,Non-MIT,"",N,"","","",05/09/94 12:00 AM,D_CROSS_REG,01/08/16 12:10 AM
NIG,Gordon Coll Cross-Enroll Prog,NIG -Gordon Coll Cross-Enroll Prog,Z,Non-MIT,"",N,"","","",10/17/07 12:00 AM,D_CROSS_REG,01/08/16 12:10 AM
NIR,Brandeis Cross-Enroll Prog,NIR -Brandeis Cross-Enroll Prog,Z,Non-MIT,"",N,"","","",02/08/94 12:00 AM,D_CROSS_REG,01/08/16 12:10 AM
NIT,Tufts Cross-Enrollment Prog,NIT -Tufts Cross-Enrollment Prog,Z,Non-MIT,"",N,"","","",08/30/93 12:00 AM,D_CROSS_REG,01/08/16 12:10 AM
ZNIH,Harvard dummy to get sorts,ZNIH-Harvard dummy to get sorts,Z,Non-MIT,"",N,"","","",01/22/95 12:00 AM,D_CROSS_REG,01/08/16 12:10 AM
NIN,Endicott Coll Cross-Enroll Pro,NIN -Endicott Coll Cross-Enroll Pro,Z,Non-MIT,"",N,"","","",09/12/08 12:00 AM,D_CROSS_REG,01/08/16 12:10 AM
NIH,Harvard Cross-Enrollment Prog,NIH -Harvard Cross-Enrollment Prog,Z,Non-MIT,"",N,"","","",02/11/93 12:00 AM,D_CROSS_REG,01/08/16 12:10 AM
NIW,Wellesley Cross-Enrollment Pro,NIW -Wellesley Cross-Enrollment Pro,Z,Non-MIT,441000,N,"","","",02/17/94 12:00 AM,D_CROSS_REG,01/08/16 12:10 AM
NIL,Lesley Coll Cross-Enroll Prog,NIL -Lesley Coll Cross-Enroll Prog,Z,Non-MIT,"",N,"","","",03/12/09 12:00 AM,D_CROSS_REG,01/08/16 12:10 AM
N/A,Not Available,N/A -Not Available,NA,Not Available,"",N,"","","","",D_UNDEF,01/08/16 12:00 AM
22,Nuclear Engineering, 22 -Nuclear Engineering,E,Engineering,068000,Y,Department of Nuclear Science and Engineering,School of Engineering,"",12/09/05 12:00 AM,D_NUCENG,01/08/16 12:10 AM
BE,Biological Engineering,BE  -Biological Engineering,E,Engineering,069200,Y,Biological Engineering Division,School of Engineering,was BEH,08/15/02 12:00 AM,D_BIOENG,01/08/16 12:10 AM
10,Chemical Engineering, 10 -Chemical Engineering,E,Engineering,062000,Y,Department of Chemical Engineering,School of Engineering,"",02/17/94 12:00 AM,D_CHEME,01/08/16 12:10 AM
SCM,Supply Chain Management Progra,SCM -Supply Chain Management Progra,E,Engineering,069501,Y,Program in Supply Chain Management,School of Engineering,"",07/08/15 12:00 AM,D_SCM,01/08/16 12:10 AM
21W,Writing & Humanistic Studies, 21W-Writing & Humanistic Studies,H,"Hum, Arts & Social Sciences",093800,Y,Program in Writing and Humanistic Studies,"School of Humanities, Arts, and Social Sciences","",02/17/94 12:00 AM,D_CMS,01/08/16 12:10 AM
STS,"Science, Technology & Society","STS -Science, Technology & Society",H,"Hum, Arts & Social Sciences",097000,Y,"Program in Science, Technology, and Society","School of Humanities, Arts, and Social Sciences","",02/17/94 12:00 AM,D_STS,01/08/16 12:10 AM
EDG,Edgerton Center,EDG -Edgerton Center,Y,"MIT, academic","",N,"","","",11/10/94 12:00 AM,D_EDGERTON,01/08/16 12:10 AM
ZZZZ,Dummy to get sorts,ZZZZ-Dummy to get sorts,Y,"MIT, academic","",N,"","","",04/13/95 12:00 AM,D_UNDEF,01/08/16 12:10 AM
OCW,On-Campus Wellesley,OCW -On-Campus Wellesley,Y,"MIT, academic","",N,"","","",09/28/93 12:00 AM,D_CROSS_REG,01/08/16 12:10 AM
WHOI,Woods Hole Oceanographic Inst,WHOI-Woods Hole Oceanographic Inst,Y,"MIT, academic",401860,N,"","","",08/27/99 12:00 AM,D_VPRESOFF,01/08/16 12:10 AM
NIA,Non-Institute-MFA/MCA,NIA -Non-Institute-MFA/MCA,Z,Non-MIT,"",N,"","","",09/24/98 12:00 AM,D_CROSS_REG,01/08/16 12:10 AM
NIE,Non-Institute Exchange Student,NIE -Non-Institute Exchange Student,Z,Non-MIT,"",N,"","","",07/12/95 12:00 AM,D_CROSS_REG,01/08/16 12:10 AM
ZNIW,Wellesley dummy to get sorts,ZNIW-Wellesley dummy to get sorts,Z,Non-MIT,"",N,"","","",01/22/95 12:00 AM,D_CROSS_REG,01/08/16 12:10 AM
NIS,Salem State Cross-Enroll Prog,NIS -Salem State Cross-Enroll Prog,Z,Non-MIT,"",N,"","","",10/10/07 12:00 AM,D_CROSS_REG,01/08/16 12:10 AM
NIC,Grad Consortium Women's Stud,NIC -Grad Consortium Women's Stud,Z,Non-MIT,"",N,"","","",12/16/05 12:00 AM,D_CROSS_REG,01/08/16 12:10 AM
